scheme_name,min_sip,min_lumpsum,expense_ratio,fund_size_cr,fund_age_yr,fund_manager,sortino,alpha,sd,beta,sharpe,risk_level,amc_name,rating,category,sub_category,returns_1yr,returns_3yr,returns_5yr,1yr_return_rank,3yr_return_rank,5yr_return_rank,sortino_rank,alpha_rank,sd_rank,beta_rank,sharpe_rank,expense_rank
Aditya Birla SL Active Debt Multi-Mgr FoF-Dir Growth,100,100,0.27,10,10,Kaustubh Gupta,0.32,2.24,9.39,0.01,0.24,3,Aditya Birla Sun Life Mutual Fund,3,Other,FoFs Domestic,4,6.5,6.9,362,217,179,40,429,348,16,50,649
Aditya Birla SL Arbitrage Fund,1000,1000,0.36,4288,10,Lovelish Solanki,1.33,1.53,0.72,0.56,1.1,1,Aditya Birla Sun Life Mutual Fund,3,Hybrid,Arbitrage Mutual Funds,5.6,4.8,5.5,595,91,77,148,354,105,106,287,560
Aditya Birla SL Asset Allocator FoF-Dir Growth,1000,1000,0.53,157,10,Vinod Narayan Bhat,3.44,2.67,10.58,0.67,1.42,5,Aditya Birla Sun Life Mutual Fund,3,Other,FoFs Domestic,2,18.9,9.7,234,402,358,574,481,358,175,496,461
Aditya Birla SL Bal Bhavishya Yojna – Dir Growth,500,1000,0.76,637,4,Atul Penkar,2.18,-6.37,14.99,0.85,0.9,6,Aditya Birla Sun Life Mutual Fund,2,Solution Oriented,Childrens Funds,-0.7,17.1,,102,371,407,252,5,472,364,185,327
Aditya Birla SL Balanced Advantage Fund,100,100,0.61,6386,10,Mohit Sharma,3.69,1.99,10.38,0.68,1.39,6,Aditya Birla Sun Life Mutual Fund,4,Hybrid,Dynamic Asset Allocation or Balanced Advantage,4.5,18.6,9.7,418,398,358,639,403,355,183,462,408
Aditya Birla SL Banking&Financial Services-DirGrowth,1000,1000,1.17,2384,9,Dhaval Gala,2.07,1.24,25.53,0.96,0.97,6,Aditya Birla Sun Life Mutual Fund,2,Equity,Sectoral / Thematic Mutual Funds,5.3,24.6,9.2,520,500,335,236,300,785,562,221,154
Aditya Birla SL Banking&PSU Debt Fund,1000,1000,0.37,7994,10,Kaustubh Gupta,1.92,4.46,1.91,1.78,1.09,3,Aditya Birla Sun Life Mutual Fund,4,Debt,Banking and PSU Mutual Funds,4.5,6.8,7.3,418,232,219,219,601,184,742,282,550
Aditya Birla SL CEF – Global Agri Plan-Direct Growth,1000,1000,1.29,15,10,Vinod Narayan Bhat,1.42,-,20.18,-,1.06,6,Aditya Birla Sun Life Mutual Fund,0,Equity,Sectoral / Thematic Mutual Funds,-10.3,29.4,9.3,12,639,342,153,407,750,407,268,108
Aditya Birla SL Corporate Bond Fund,100,100,0.31,12120,10,Kaustubh Gupta,2.28,2.38,1.93,0.78,1.35,2,Aditya Birla Sun Life Mutual Fund,4,Debt,Corporate Bond Mutual Funds,4.9,7.1,7.4,457,256,230,269,440,186,266,434,609
Aditya Birla SL Credit Risk Fund,100,100,0.69,1032,8,Sunaina da Cunha,1.82,3.01,2.9,-0.95,1.47,4,Aditya Birla Sun Life Mutual Fund,4,Debt,Credit Risk Funds,8.7,9,7.2,736,281,207,206,519,244,10,533,359
Aditya Birla SL Digital India Fund,100,1000,0.88,3338,10,Kunal Sangoi,2.42,9.37,21.12,0.83,1.53,6,Aditya Birla Sun Life Mutual Fund,0,Equity,Sectoral / Thematic Mutual Funds,-14.6,39.8,21.1,4,760,641,301,724,761,332,575,274
Aditya Birla SL Dividend Yield Fund,1000,1000,1.73,850,10,Dhaval Gala,3.78,5.04,15.77,0.85,1.58,6,Aditya Birla Sun Life Mutual Fund,0,Equity,Dividend Yield Funds,6.2,30.5,10,678,655,370,661,642,523,364,609,34
Aditya Birla SL Dynamic Bond Fund,1000,1000,0.64,1795,10,Mohit Sharma,1.78,3.02,3.22,0.91,1.02,3,Aditya Birla Sun Life Mutual Fund,5,Debt,Dynamic Bond,7.5,8,6,714,270,107,203,520,259,472,250,389
Aditya Birla SL Equity Advantage Fund,1000,1000,1.14,4836,10,Atul Penkar,2.21,-2.06,17.61,0.98,1.16,6,Aditya Birla Sun Life Mutual Fund,1,Equity,Large & Mid Cap Funds,-9.9,22.3,7.9,13,452,269,255,46,678,591,313,163
Aditya Birla SL Equity Hybrid ’95 Fund,100,100,1.01,7046,10,Mahesh Patil,2.54,1.43,12.84,0.85,1.33,6,Aditya Birla Sun Life Mutual Fund,2,Hybrid,Aggressive Hybrid Mutual Funds,-5.7,20.4,7.7,33,419,254,322,340,404,364,422,210
Aditya Birla SL Equity Savings Fund,1000,1000,1.21,451,8,Dhaval Shah,2.55,1.11,6.83,0.99,1.2,4,Aditya Birla Sun Life Mutual Fund,2,Hybrid,Equity Savings Mutual Funds,0.8,11.7,6.9,159,308,179,324,284,326,610,331,137
Aditya Birla SL Flexi Cap Fund,100,100,0.86,15449,10,Anil Shah,3.4,-1.46,16.6,0.96,1.27,6,Aditya Birla Sun Life Mutual Fund,3,Equity,Flexi Cap Funds,-2.1,25,10.4,73,507,387,557,65,607,562,364,284
Aditya Birla SL Floating Rate Fund,1000,1000,0.23,12364,10,Kaustubh Gupta,2.81,3.73,1.14,1.37,1.66,2,Aditya Birla Sun Life Mutual Fund,5,Debt,Floater Mutual Funds,5.8,6.4,6.8,656,207,171,384,569,135,722,650,681
Aditya Birla SL Focused Equity Fund,1000,1000,1.06,5633,10,Mahesh Patil,3.24,-1.14,16.09,0.95,1.26,6,Aditya Birla Sun Life Mutual Fund,3,Equity,Focused Funds,-0.7,24,10.7,102,481,402,497,74,554,550,354,187
Aditya Birla SL FP FoF – Aggressive – Direct Growth,100,100,0.22,159,10,Vinod Narayan Bhat,3.13,1.65,11.73,0.8,1.4,6,Aditya Birla Sun Life Mutual Fund,3,Other,FoFs Domestic,2.5,21.7,10.7,263,435,402,470,362,380,294,475,687
Aditya Birla SL FP FoF – Conservative – Direct Growth,100,100,0.34,14,10,Vinod Narayan Bhat,3.82,1.94,5.49,0.36,1.57,4,Aditya Birla Sun Life Mutual Fund,4,Other,FoFs Domestic,4.7,13.3,8.2,436,335,288,664,398,307,28,603,580
Aditya Birla SL FP FoF – Moderate – Direct Growth,100,100,0.36,28,10,Vinod Narayan Bhat,3.09,1.69,8.56,0.58,1.44,5,Aditya Birla Sun Life Mutual Fund,3,Other,FoFs Domestic,3.7,17.3,9.4,331,376,346,456,367,343,119,513,560
Aditya Birla SL Frontline Equity Fund,100,100,1.03,21131,10,Mahesh Patil,3.36,0.76,16.02,0.95,1.39,6,Aditya Birla Sun Life Mutual Fund,3,Equity,Large Cap Mutual Funds,1.6,26.3,10.6,207,568,396,545,239,545,550,462,201
Aditya Birla SL Global Emerging Oppt Fund,100,100,0.7,261,10,Vinod Narayan Bhat,0.98,-,16.64,-,0.7,6,Aditya Birla Sun Life Mutual Fund,0,Other,FoFs Overseas,-5.7,18.8,8.3,33,401,293,108,407,614,407,133,353
Aditya Birla SL Gold Fund,100,100,0.15,278,10,Lovelish Solanki,1.07,-0.57,13.89,0.97,0.45,5,Aditya Birla Sun Life Mutual Fund,2,Other,FoFs Domestic,11.8,12.1,13.2,770,317,545,122,110,428,577,82,751
Aditya Birla SL Govt Securities Fund,1000,1000,0.29,1351,10,Bhupesh Bameta,0.71,1.09,3.35,0.73,0.57,3,Aditya Birla Sun Life Mutual Fund,3,Debt,Gilt Mutual Funds,3.6,6,8,324,179,279,80,280,265,216,109,628
Aditya Birla SL Income Fund,1000,5000,0.49,1496,10,Bhupesh Bameta,0.88,1.69,3.29,1.51,0.64,3,Aditya Birla Sun Life Mutual Fund,4,Debt,Medium to Long Duration Funds,3.5,7.1,7.7,315,256,254,95,367,263,732,119,476
Aditya Birla SL India GenNext Fund,1000,1000,0.82,3217,10,Chanchal Khandelwal,3.73,3.33,14.93,0.79,1.43,6,Aditya Birla Sun Life Mutual Fund,3,Equity,Sectoral / Thematic Mutual Funds,4.6,25,13.3,428,507,550,649,543,467,281,503,297
Aditya Birla SL Infrastructure Fund,1000,1000,1.7,562,10,Mahesh Patil,3.3,4.38,22.52,0.85,1.4,6,Aditya Birla Sun Life Mutual Fund,2,Equity,Sectoral / Thematic Mutual Funds,13.5,35.6,9.2,782,735,335,520,596,770,364,475,36
Aditya Birla SL Inter Equity – Plan A-Direct Growth,1000,1000,1.75,108,10,Vinod Narayan Bhat,1.28,-,13.99,-,0.81,6,Aditya Birla Sun Life Mutual Fund,0,Equity,Sectoral / Thematic Mutual Funds,0.9,17.7,10.4,164,382,387,145,407,431,407,157,30
Aditya Birla SL Inter Equity – Plan B-Direct Growth,1000,1000,2.15,90,10,Vinod Narayan Bhat,2.45,-1.93,16.3,0.87,1.14,6,Aditya Birla Sun Life Mutual Fund,0,Equity,Sectoral / Thematic Mutual Funds,-4.1,22.7,7.6,45,461,245,310,49,576,400,302,4
Aditya Birla SL Liquid Fund,500,500,0.21,28071,10,Kaustubh Gupta,5.28,1.49,0.39,0.8,1.06,3,Aditya Birla Sun Life Mutual Fund,4,Debt,Liquid Mutual Funds,5.7,4.4,5.4,631,57,63,778,348,55,294,268,700
Aditya Birla SL Low Duration Fund,100,100,0.39,10035,10,Mohit Sharma,4.76,3.33,0.97,1,2.05,3,Aditya Birla Sun Life Mutual Fund,4,Debt,Low Duration Funds,5.7,6.5,7,631,217,190,765,543,130,632,768,530
Aditya Birla SL Manufacturing Equity Fund,1000,1000,1.56,613,8,Anil Shah,2.43,-1.7,15.05,0.83,1.18,6,Aditya Birla Sun Life Mutual Fund,0,Equity,Sectoral / Thematic Mutual Funds,-2.9,21.7,6.8,59,435,171,308,57,474,332,318,54
Aditya Birla SL Medium Term Plan – Direct Growth,1000,1000,0.86,1652,10,Sunaina da Cunha,2.29,9.65,10.73,1.12,0.93,4,Aditya Birla Sun Life Mutual Fund,5,Debt,Medium Duration Funds,22.1,14.5,8.6,808,349,306,272,727,359,680,198,284
Aditya Birla SL Midcap Fund,1000,1000,1.2,3436,10,Anil Shah,3.11,-0.81,16.52,0.89,1.54,6,Aditya Birla Sun Life Mutual Fund,1,Equity,Mid Cap Mutual Funds,-3.6,28,8.3,51,612,293,460,92,597,432,586,141
Aditya Birla SL Money Manager Fund,1000,1000,0.21,13095,10,Mohit Sharma,4.58,3.06,0.68,1.31,1.94,3,Aditya Birla Sun Life Mutual Fund,4,Debt,Money Market Funds,5.6,5.6,6.4,595,147,136,756,523,93,713,749,700
Aditya Birla SL Nifty 50 Index Fund,1000,100,0.32,494,10,Lovelish Solanki,3.42,-0.87,16.65,0.99,1.29,6,Aditya Birla Sun Life Mutual Fund,3,Other,Index Funds,0.7,25.5,11.6,155,533,449,568,89,617,610,384,600
Aditya Birla SL Overnight Fund,0,5000,0.07,13399,4,Kaustubh Gupta,0.11,0.58,0.35,0.43,0.02,1,Aditya Birla Sun Life Mutual Fund,3,Debt,Overnight Mutual Funds,5.4,3.9,,540,13,407,30,208,15,42,24,800
Aditya Birla SL Pure Value Fund,1000,1000,1.12,3798,10,Kunal Sangoi,2.31,3.41,18.83,0.99,1.36,6,Aditya Birla Sun Life Mutual Fund,1,Equity,Value Funds,3,29.8,4.3,288,647,16,277,548,722,610,440,165
Aditya Birla SL Regular Savings Fund,500,500,0.92,1585,10,Dhaval Shah,3.88,5.71,4.8,0.6,2.08,4,Aditya Birla Sun Life Mutual Fund,3,Hybrid,Conservative Hybrid Mutual Funds,3.6,13.9,7.6,324,343,245,671,659,297,131,773,257
Aditya Birla SL Retirement-The 30s Plan-Dir Growth,500,1000,1.06,258,4,Dhaval Shah,2.41,-5.61,14.94,0.84,0.94,6,Aditya Birla Sun Life Mutual Fund,2,Solution Oriented,Retirement Funds,0,17.9,,128,385,407,295,11,468,348,205,187
Aditya Birla SL Retirement-The 40s Plan-Dir Growth,500,1000,1.07,91,4,Dhaval Shah,2.34,-3.14,11.86,0.77,0.93,6,Aditya Birla Sun Life Mutual Fund,2,Solution Oriented,Retirement Funds,-0.1,15,,123,357,407,281,31,386,256,198,185
Aditya Birla SL Retirement-The 50s Plan-Dir Growth,500,1000,0.63,27,4,Dhaval Shah,0.29,-2.04,2.99,0.34,0.13,4,Aditya Birla Sun Life Mutual Fund,2,Solution Oriented,Retirement Funds,3,4.6,,288,79,407,38,47,250,27,40,396
Aditya Birla SL Retirement-The 50sPlus-Debt-DirGrowth,500,1000,0.85,26,4,Dhaval Shah,0.22,0.09,2.19,1.09,0.18,3,Aditya Birla Sun Life Mutual Fund,1,Solution Oriented,Retirement Funds,2.9,4.6,,281,79,407,35,149,200,674,44,290
Aditya Birla SL Savings Fund,1000,1000,0.34,14457,10,Kaustubh Gupta,4.23,2.64,0.76,0.86,1.96,3,Aditya Birla Sun Life Mutual Fund,4,Debt,Ultra Short Duration Funds,5.5,5.8,6.5,575,165,144,726,476,115,385,756,580
Aditya Birla SL Short Term Fund,1000,1000,0.38,5045,10,Kaustubh Gupta,3.7,4.91,2.05,1.27,1.57,3,Aditya Birla Sun Life Mutual Fund,4,Debt,Short Duration Funds,5.5,7.8,7.6,575,268,245,642,632,192,707,603,543
Aditya Birla SL Small Cap Fund,1000,1000,1.04,2901,10,Vishal Gajwani,3.11,-0.73,19.36,0.89,1.51,6,Aditya Birla Sun Life Mutual Fund,1,Equity,Small Cap Mutual Funds,-2.3,31.6,5.4,69,675,63,460,97,740,432,561,196
Aditya Birla SL Tax Relief ’96 – Direct Growth,500,500,0.93,12755,10,Atul Penkar,1.94,-7.68,15.31,0.87,0.83,6,Aditya Birla Sun Life Mutual Fund,1,Equity,ELSS Mutual Funds,-3,16.1,5.8,58,365,94,221,4,485,400,163,254
AXIS All Seasons Debt Fund,1000,5000,0.22,161,3,R Sivakumar,1.77,1.88,2.06,0.8,1.02,4,Axis Mutual Fund,4,Other,FoFs Domestic,4.7,6.2,,436,193,407,200,390,193,294,250,687
AXIS Arbitrage Fund,1000,500,0.31,3085,9,Ashish Naik,1.47,1.41,0.68,0.44,1.21,1,Axis Mutual Fund,4,Hybrid,Arbitrage Mutual Funds,5.6,4.9,5.6,595,95,82,158,332,93,49,334,609
AXIS Balanced Advantage Fund,1000,500,0.7,2077,6,Anupam Tiwari,2.26,-1.23,8.09,0.53,1.05,6,Axis Mutual Fund,2,Hybrid,Dynamic Asset Allocation or Balanced Advantage,1.2,12.4,8,184,326,279,264,69,336,86,266,353
